"","basophil","CD14_monocyte","CD16_monocyte","CD4_T","CD56bright_NK","CD56dim_NK","CD8_T","eosinophil","gamma_delta_T","HPC","macrophage_M0","macrophage_M1","macrophage_M2","MAST","memory_B","myeloid_DC","naive_B","neutrophil","plasma","plasmacytoid_DC"
"NP2_01",10,2141,536,471,160,308,829,26,8,5,3,7,25,7,242,117,652,35,6,4
"NP2_02",3,774,165,370,102,191,485,12,5,17,3,2,13,5,143,39,374,21,8,2
"NP3",7,1904,472,1407,77,332,857,21,5,21,5,2,18,7,435,58,565,26,11,9
"P04_01",10,641,219,616,147,446,812,34,10,11,4,2,12,7,464,36,985,36,11,20
"P04_02",9,883,264,944,97,389,865,35,19,13,1,3,16,5,294,62,580,48,8,12
"P04_03",24,155,92,510,67,236,419,56,18,2,5,5,10,12,275,53,732,25,9,18
"P04_04",5,653,202,1045,153,333,994,20,14,3,1,1,6,4,290,46,649,9,2,8
"P04_05",2,597,90,486,72,251,541,10,4,3,1,1,6,4,245,22,634,13,2,4
"pbmc_NP1",2,514,150,547,28,93,283,5,7,2,1,4,7,0,86,7,111,8,1,1
"pbmc_NP2",16,541,162,1260,52,200,673,31,15,21,6,8,21,5,91,40,228,27,20,6
"pbmc_P1",11,234,126,1055,142,386,875,52,37,3,7,7,13,4,58,43,182,17,11,6
"pbmc_P2",14,307,117,851,187,378,878,55,34,5,8,2,19,10,50,37,136,16,11,3
"pbmc_P3",6,427,170,960,170,328,895,32,15,5,2,4,12,0,47,27,96,7,24,5
"pbmc_P4",4,191,141,597,57,264,563,21,20,2,3,16,6,2,36,12,75,12,8,3
"pbmc_P5",14,93,62,556,108,268,459,54,29,5,5,2,9,10,35,33,112,7,16,8
