"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"NP2_01",1113,265,358,951,143,535,387,403,203,11,112,103,320,12,6,2,55,19,5,35,82,113,82,148,14,71,12,16,9,7
"NP2_02",474,214,185,280,83,246,217,229,125,3,57,82,105,16,13,2,15,21,24,28,65,72,11,50,16,80,8,3,10,0
"NP3",1151,249,491,810,900,30,462,256,236,2,424,29,326,29,47,8,64,178,14,79,13,175,42,64,54,60,23,8,3,12
"P04_01",120,259,813,215,47,343,408,350,267,381,80,186,122,153,21,119,63,84,12,27,105,98,30,14,46,54,62,37,2,5
"P04_02",156,341,508,218,94,244,480,219,182,602,125,142,109,149,14,357,56,108,10,29,128,48,56,52,44,19,33,12,8,4
"P04_03",33,87,416,6,38,73,748,191,17,5,54,44,10,83,15,10,337,117,12,83,28,34,164,36,38,0,39,0,3,2
"P04_04",501,582,503,112,246,376,208,270,238,6,169,172,167,76,10,18,133,79,11,70,141,77,60,62,50,59,18,23,0,1
"P04_05",53,349,493,166,65,193,127,259,156,353,50,139,48,12,8,39,136,31,4,29,53,58,72,28,19,22,10,14,0,2
"pbmc_NP1",228,108,64,329,368,4,2,77,77,9,161,3,102,15,26,0,28,50,38,72,7,35,8,21,19,3,3,0,0,0
"pbmc_NP2",323,256,175,359,745,15,8,80,78,16,352,16,76,169,193,21,25,80,116,133,16,26,19,43,35,3,18,0,6,21
"pbmc_P1",107,597,96,48,180,241,26,67,187,112,82,219,61,175,310,31,108,81,173,92,99,24,78,34,23,4,9,0,5,0
"pbmc_P2",186,379,64,111,148,308,10,46,238,75,110,190,59,265,220,13,131,107,218,62,66,23,40,31,4,2,6,0,1,5
"pbmc_P3",270,487,38,164,290,359,7,44,235,13,99,173,141,44,139,1,109,99,175,107,98,31,11,22,31,3,9,0,33,0
"pbmc_P4",19,48,39,13,39,152,3,24,102,303,29,242,35,17,42,693,33,21,65,38,18,15,9,5,11,1,14,0,3,0
"pbmc_P5",3,159,23,18,63,141,7,15,114,93,59,98,29,267,354,31,16,82,167,69,31,16,3,9,12,2,1,0,3,0
